,clip_name,threshold,nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
0,14_1,10,0.567869544,0.284519076,-0.200836524,0.570262849,0.273061723,-0.179035008,0.571311831,0.273612678,-0.17908819,0.572294652,0.274213195,-0.179174915,0.564423025,0.269642144,-0.197001562,0.561249077,0.267741561,-0.197004154,0.557623088,0.266052365,-0.197046146,0.567862511,0.277965993,-0.069044545,0.545963645,0.268828303,-0.144116506,0.566955209,0.29893595,-0.156160325,0.559996843,0.296363622,-0.18087922,0.571655989,0.358951926,0.001286497,0.509107649,0.329419911,-0.133417755,0.598727643,0.445039183,-0.044190712,0.497566432,0.412171096,-0.292299241,0.627592921,0.412556827,-0.183879673,0.536407173,0.337315053,-0.442263603,0.639648855,0.398748964,-0.207415029,0.545365512,0.313058317,-0.481328905,0.636743903,0.392573595,-0.214929163,0.544681787,0.303932726,-0.465871215,0.632276416,0.394740701,-0.191498742,0.542739272,0.313068449,-0.439284414,0.546699941,0.556893647,0.02547418,0.501812935,0.551737189,-0.025272761,0.58149147,0.673804045,-0.149206489,0.475310624,0.675522506,-0.030551184,0.55796355,0.806328237,-0.044170253,0.47828567,0.769283891,0.272051781,0.546543896,0.830876231,-0.040276863,0.484796613,0.781019688,0.292489082,0.592604578,0.839164495,-0.146603152,0.45770359,0.81168592,0.203485936
1,14_1,20,0.617141068,0.343930602,-0.060773566,0.616887927,0.326927662,-0.045833565,0.616610885,0.326108754,-0.045929573,0.616343379,0.325102538,-0.045984883,0.614617527,0.325356722,-0.077458017,0.612589002,0.323496819,-0.077536836,0.610393167,0.321402311,-0.077536598,0.604369044,0.320817709,0.023013838,0.596566379,0.317949951,-0.120200507,0.610373557,0.357753426,-0.032223482,0.607544065,0.356848389,-0.07349553,0.583209097,0.385833204,0.110186033,0.572324753,0.381400496,-0.180021688,0.567773581,0.488948166,0.179356307,0.620018363,0.453236103,-0.243275091,0.541570246,0.565810978,0.171955884,0.636037886,0.34603554,-0.198629081,0.536495626,0.594415963,0.175768211,0.63890934,0.3189843,-0.216987282,0.532400072,0.589282751,0.164521396,0.630850375,0.315298945,-0.221221894,0.533551276,0.577718616,0.165424302,0.627987683,0.321606964,-0.199123636,0.539362192,0.584999263,0.09005262,0.514186025,0.57856673,-0.090048946,0.593915045,0.674091399,0.046455964,0.54084909,0.713083804,-0.264998436,0.561053336,0.811177969,0.127937883,0.515945852,0.897426546,-0.288184673,0.548584938,0.835336685,0.132658511,0.502106965,0.925634146,-0.294918895,0.599093556,0.84155345,0.089581527,0.552438736,0.946941316,-0.389823735
2,14_1,30,0.611878216,0.299378037,-0.160270691,0.615310609,0.287662238,-0.141140088,0.616160452,0.288394958,-0.141196147,0.616929948,0.288985163,-0.141250655,0.610029399,0.28306675,-0.158136532,0.606748164,0.280105025,-0.158141926,0.603092074,0.276799142,-0.158169031,0.610618889,0.291533649,-0.042820197,0.589614749,0.276507199,-0.121633455,0.609391868,0.313342988,-0.122685261,0.600578845,0.310107917,-0.145146772,0.607502997,0.366835266,0.023778941,0.551407218,0.323824018,-0.152889624,0.648941755,0.409186214,-0.064080536,0.554170668,0.343535572,-0.318492889,0.656329513,0.314468324,-0.183371678,0.600919425,0.256686479,-0.409418613,0.658819795,0.279342383,-0.206684306,0.604765117,0.218206614,-0.441879749,0.655476034,0.275924802,-0.188771412,0.604193926,0.217735544,-0.433538109,0.651946783,0.285677403,-0.181155935,0.603838563,0.235515699,-0.409236997,0.56142801,0.561174691,0.063874155,0.519858658,0.543076098,-0.063853875,0.601161242,0.688286662,-0.015456284,0.515484989,0.685330808,-0.235551745,0.560941696,0.809961736,0.085624836,0.486073166,0.843505025,-0.211342722,0.547240317,0.83408016,0.090964787,0.475587785,0.86160928,-0.216407344,0.597872794,0.84463203,0.021472286,0.496516556,0.895448923,-0.378048062
3,14_1,40,0.549644351,0.324865431,-0.191559315,0.555894792,0.312351078,-0.181068957,0.55926019,0.313133627,-0.18105419,0.562416315,0.314081728,-0.181086019,0.546038687,0.311430275,-0.177041784,0.543260217,0.311696529,-0.177096322,0.54051435,0.311930954,-0.177133054,0.567086518,0.319645524,-0.107063271,0.537801981,0.31602326,-0.084611654,0.554513037,0.34160763,-0.161825866,0.54307121,0.339552581,-0.156231433,0.584368646,0.387412131,-0.073118463,0.5115363,0.379045516,-0.046183027,0.599778593,0.463807017,-0.184757188,0.482032925,0.45246309,-0.149565786,0.590895236,0.363752693,-0.312562346,0.499398738,0.35952431,-0.292619854,0.591382861,0.331927329,-0.337991655,0.500411689,0.329631537,-0.324061692,0.59255141,0.32438308,-0.323182315,0.501761734,0.322408795,-0.31168285,0.589891016,0.336698174,-0.309319526,0.504052877,0.335122913,-0.293346077,0.564040899,0.58851862,-0.010749004,0.516129136,0.579274893,0.010731894,0.569461703,0.695705295,-0.142308205,0.465958267,0.672473907,-0.17864719,0.581999421,0.803844213,0.061856903,0.478351444,0.769141078,0.022905886,0.576491117,0.817508161,0.077734813,0.490697294,0.786255896,0.036112584,0.594431162,0.850574493,-0.010828109,0.455094397,0.806378543,-0.050669324
4,14_1,50,0.506750464,0.328184813,-0.140868694,0.509454608,0.315937608,-0.133466989,0.511914372,0.314125717,-0.133491844,0.514377654,0.312707335,-0.133461922,0.50269562,0.321399927,-0.123691015,0.500643015,0.321620971,-0.12368618,0.498638928,0.319666922,-0.123696491,0.5174945,0.31678614,-0.089934669,0.497137874,0.327677399,-0.042215858,0.512945652,0.337826878,-0.12544927,0.504198313,0.34168762,-0.111719251,0.543812394,0.363063306,-0.133438632,0.49079594,0.410461187,0.02892874,0.547927856,0.285807043,-0.267388731,0.471671313,0.495204508,0.059820551,0.488675177,0.297062397,-0.303719699,0.450087458,0.569849074,-0.010406225,0.474440545,0.297103047,-0.336102068,0.447740555,0.597197533,-0.024763644,0.472452581,0.299645841,-0.326883584,0.44600299,0.59619683,-0.049010668,0.476962596,0.303569883,-0.302802056,0.445399702,0.588568032,-0.022578778,0.561810255,0.569470882,-0.061157789,0.523848712,0.577453077,0.060979221,0.557527125,0.699087381,-0.084532529,0.46991846,0.676016748,0.108424984,0.609585047,0.790818334,0.041206669,0.481398433,0.769501805,0.287478805,0.622619569,0.798306823,0.050887112,0.492733121,0.791424751,0.302608699,0.596476138,0.850944817,-0.022954952,0.449445903,0.801640749,0.266091317
5,14_1,60,0.488742262,0.383469969,-0.169860125,0.490302026,0.369809836,-0.160518825,0.492983371,0.368650287,-0.160538241,0.495674551,0.367508739,-0.16055575,0.48340559,0.373108238,-0.153774425,0.481366575,0.374359518,-0.153766558,0.4793742,0.375842303,-0.153716952,0.500958264,0.373001009,-0.104199134,0.478816718,0.386520416,-0.067911454,0.495966136,0.396037728,-0.147478506,0.487263173,0.400125533,-0.137892917,0.527218223,0.410090834,-0.116475619,0.486945331,0.472734362,-0.009861944,0.520239055,0.321190059,-0.160345495,0.51173085,0.543656588,-0.040534068,0.465457231,0.340957671,-0.076844446,0.528613091,0.572911084,-0.14295581,0.452716261,0.344635725,-0.092066437,0.534741342,0.588055193,-0.165072531,0.450773716,0.349168569,-0.080328226,0.533728302,0.585463703,-0.176887602,0.454486787,0.353272408,-0.073345765,0.532858193,0.577990711,-0.150736645,0.561071217,0.609606326,-0.05018381,0.527719796,0.609674633,0.050284307,0.556741536,0.725758195,-0.058553044,0.464032143,0.670999408,-0.028963769,0.610398233,0.793007076,0.066735342,0.482176512,0.769466937,0.12218596,0.622824848,0.800456643,0.07523647,0.494617105,0.790422201,0.135043889,0.596725225,0.849563181,0.006980428,0.451903462,0.801120639,0.090481162
6,14_1,70,0.506912649,0.274004787,-0.169108331,0.512393832,0.262645602,-0.158007383,0.515324354,0.262674987,-0.15804933,0.518471599,0.262881786,-0.158067614,0.50499028,0.262655377,-0.1505851,0.50248158,0.262388349,-0.150572211,0.500059247,0.262075037,-0.15056923,0.524772644,0.268383175,-0.080423251,0.500737011,0.269716501,-0.047315057,0.512558341,0.287257701,-0.140541375,0.503885329,0.286941648,-0.130787075,0.547469556,0.32853049,-0.087416053,0.492672563,0.356726885,0.041706942,0.583175898,0.35202688,-0.240106285,0.480709523,0.440200299,0.015816247,0.534087121,0.297872901,-0.38805294,0.466446549,0.459521562,-0.143342227,0.523130596,0.288351595,-0.424188286,0.460502803,0.462554306,-0.16873762,0.520873129,0.288683593,-0.405686826,0.460461199,0.457288027,-0.18201898,0.523755968,0.296862304,-0.383861154,0.464372218,0.455416381,-0.153230518,0.555382967,0.546085298,-0.060147759,0.518835366,0.547027528,0.059983607,0.56827271,0.675563931,-0.091946647,0.475046039,0.653348207,0.068325087,0.611555398,0.794762731,-0.00877223,0.480799496,0.768987298,0.217645809,0.622101724,0.808236718,-0.006304665,0.492528468,0.790059209,0.228898153,0.595458925,0.85058862,-0.108474225,0.448772401,0.801616669,0.171750158
7,14_1,80,0.51472348,0.243255809,-0.178952664,0.521474481,0.231281519,-0.166565284,0.52466023,0.23202455,-0.166554064,0.526784778,0.232750624,-0.166510627,0.511651516,0.229760274,-0.160148844,0.508909345,0.229414552,-0.160152763,0.506179512,0.229090616,-0.160153151,0.532323956,0.241124839,-0.085731864,0.504795015,0.235219464,-0.054391623,0.520816267,0.262111962,-0.148548812,0.509575963,0.259086758,-0.139965475,0.552378953,0.318793714,-0.06420847,0.488110393,0.325574964,0.01574935,0.573278725,0.416768759,-0.179551393,0.456196427,0.397927403,-0.099949829,0.539526224,0.35638842,-0.317920804,0.486353368,0.329084247,-0.289567322,0.532565296,0.342575103,-0.349280953,0.492900401,0.312079817,-0.323468953,0.532078505,0.332999647,-0.33738333,0.495158017,0.307492018,-0.310449868,0.532160342,0.33715719,-0.314799845,0.494881272,0.314809233,-0.288486391,0.542212844,0.529627204,-0.053415395,0.50075084,0.525901377,0.053344656,0.567581356,0.659551024,-0.077476688,0.486208409,0.647520006,0.199377969,0.600779176,0.792477429,-0.028735222,0.481933147,0.767874718,0.413229764,0.604939699,0.808156013,-0.030159367,0.491918117,0.791535378,0.430142552,0.595080197,0.851787567,-0.159170598,0.450698495,0.797831118,0.356835812
8,14_2,10,0.592438161,0.299192309,-0.196304038,0.594624937,0.287535191,-0.173738927,0.59551841,0.287555516,-0.173744738,0.596232772,0.287515908,-0.173805684,0.589556277,0.284873724,-0.201522052,0.586924732,0.283025146,-0.201536223,0.583837509,0.28101182,-0.201636299,0.588987887,0.288217872,-0.062952556,0.570366919,0.27928251,-0.152916476,0.590015948,0.311674356,-0.152953371,0.583925068,0.309842378,-0.198535517,0.588742495,0.36258918,0.019801378,0.527378261,0.33137542,-0.146888152,0.616465569,0.450395614,0.042822648,0.505534291,0.407405406,-0.29875499,0.650395691,0.398943365,-0.010415497,0.552889764,0.340795726,-0.424311072,0.662147462,0.380650252,-0.014973162,0.562271476,0.314377546,-0.457695961,0.659837723,0.37419337,-0.023621343,0.563695073,0.3106094,-0.440235287,0.655218661,0.376544595,-0.016083864,0.56151557,0.320874274,-0.419279099,0.564713657,0.555825055,0.033302769,0.520698369,0.552966118,-0.033125136,0.600673437,0.6710186,-0.159980938,0.487619787,0.681407094,0.040797081,0.58139205,0.801989019,-0.068177626,0.48682943,0.755837798,0.319947302,0.570474267,0.825416327,-0.066905528,0.490557343,0.764015079,0.345250875,0.612853706,0.835218489,-0.174209893,0.467814803,0.803635418,0.273391575
9,14_2,20,0.630329251,0.31092456,-0.060251776,0.630872428,0.294683158,-0.05632579,0.63089776,0.294011712,-0.056214761,0.630893826,0.293148279,-0.056237075,0.628685415,0.293323666,-0.071036115,0.627084196,0.291831523,-0.071364328,0.625347376,0.290175319,-0.071249433,0.62047869,0.290613711,0.012371738,0.612471879,0.287593633,-0.118193835,0.62555486,0.322687656,-0.042136893,0.622700274,0.322782576,-0.070678286,0.599279106,0.359097332,0.10324885,0.581391394,0.335953116,-0.184454247,0.593744218,0.455570608,0.163059667,0.63357389,0.387866348,-0.282673836,0.573082268,0.530801892,0.130346373,0.652642131,0.283073932,-0.294621289,0.570324838,0.556101501,0.127164096,0.654295921,0.259259075,-0.32962364,0.562690139,0.559182703,0.121086977,0.648101151,0.251787782,-0.335750699,0.563239932,0.545746207,0.124942474,0.646735191,0.260844052,-0.298711479,0.56176585,0.556636155,0.090013862,0.535423875,0.549365699,-0.090000421,0.611956894,0.666714609,0.052324641,0.551749587,0.700531244,-0.184532076,0.58052212,0.806050599,0.133834824,0.52288413,0.875261426,-0.189510897,0.569339693,0.832190752,0.138177723,0.509221554,0.905483484,-0.195519835,0.61819303,0.841359675,0.095458396,0.556410134,0.928759098,-0.292270809
